index,x_px,y_px,x_normalized,y_normalized,x_offset_from_center_px,y_offset_from_center_px,x_relative_center,y_relative_center
23,245.43734741210938,175.00001525878906,0.5490768398481194,0.3914989155677608,21.937347412109375,-48.49998474121094,0.09815367969623881,-0.21700216886447846
24,253.3404083251953,175.00001525878906,0.5667570656044638,0.3914989155677608,29.840408325195312,-48.49998474121094,0.13351413120892758,-0.21700216886447846
25,261.20086669921875,174.39990234375,0.5843419836671561,0.3901563810822148,37.70086669921875,-49.10009765625,0.16868396733431207,-0.21968723783557048
26,269.0755310058594,174.00001525878906,0.6019586823397302,0.38926177910243637,45.575531005859375,-49.49998474121094,0.20391736467946028,-0.22147644179512724
27,276.9084777832031,173.01307678222656,0.6194820532062709,0.38705386304748673,53.408477783203125,-50.48692321777344,0.23896410641254195,-0.22589227390502656
28,284.8106384277344,173.0,0.6371602649390031,0.3870246085011186,61.310638427734375,-50.5,0.27432052987800615,-0.22595078299776286
29,292.6663513183594,172.3333740234375,0.6547345667077391,0.38553327522021813,69.16635131835938,-51.1666259765625,0.3094691334154782,-0.22893344955956377
30,300.4900207519531,172.7843017578125,0.6722371828902755,0.38654206209801456,76.99002075195312,-50.7156982421875,0.3444743657805509,-0.2269158758039709
31,308.313720703125,173.9019775390625,0.6897398673447986,0.3890424553446588,84.813720703125,-49.5980224609375,0.37947973468959734,-0.22191508931068232
32,316.1976623535156,174.1710968017578,0.7073773207013773,0.3896445118607557,92.69766235351562,-49.32890319824219,0.4147546414027545,-0.22071097627848854
33,323.9917297363281,175.42738342285156,0.7248137130566624,0.39245499647170373,100.49172973632812,-48.07261657714844,0.44962742611332496,-0.21509000705659256
34,331.7857360839844,176.68368530273438,0.742249968867974,0.3952655152186451,108.28573608398438,-46.816314697265625,0.48449993773594796,-0.20946896956270974
35,339.6294250488281,176.48150634765625,0.7597973714738884,0.39481321330571867,116.12942504882812,-47.01849365234375,0.5195947429477769,-0.21037357338856263
36,347.4982604980469,176.0,0.7774010301969728,0.39373601789709173,123.99826049804688,-47.5,0.5548020603939458,-0.21252796420581654
37,355.3302001953125,177.00001525878906,0.7949221480879475,0.3959731884984095,131.8302001953125,-46.49998474121094,0.5898442961758948,-0.20805362300318092
38,362.99517822265625,178.7122344970703,0.8120697499388283,0.39980365659299844,139.49517822265625,-44.78776550292969,0.6241394998776566,-0.20039268681400307
39,370.55621337890625,180.63482666015625,0.8289848174024749,0.4041047576289849,147.05621337890625,-42.86517333984375,0.6579696348049496,-0.1917904847420302
40,377.6459655761719,177.2440185546875,0.8448455605730915,0.3965190571693233,154.14596557617188,-46.2559814453125,0.6896911211461829,-0.20696188566135346
41,385.34088134765625,178.6688232421875,0.8620601372430788,0.3997065396916946,161.84088134765625,-44.8311767578125,0.7241202744861577,-0.20058692061661074
42,393.096923828125,180.00003051757812,0.8794114627027405,0.40268463203037613,169.596923828125,-43.499969482421875,0.758822925405481,-0.19463073593924776
43,401.0,180.0,0.8970917225950783,0.40268456375838924,177.5,-43.5,0.7941834451901566,-0.19463087248322147
