replan_index,wall_time,waypoint_index,x,y
2,0.008575835992814973,76,0.6903903287148143,0.0021808200514372364
2,0.008575835992814973,77,0.7051585913067937,0.0006044322309022721
2,0.008575835992814973,78,0.72,0.0
3,57.465957562002586,0,0.2265241580828018,0.3173912714264233
3,57.465957562002586,1,0.21948686173313017,0.3305110125887047
3,57.465957562002586,2,0.21917402387029394,0.34021939567154436
3,57.465957562002586,3,0.23391732578955948,0.3422897088352331
3,57.465957562002586,4,0.24866062770882502,0.34436002199892174
3,57.465957562002586,5,0.26340392962809056,0.34643033516261046
3,57.465957562002586,6,0.2781472315473561,0.3485006483262992
3,57.465957562002586,7,0.2928905334666216,0.35057096148998784
3,57.465957562002586,8,0.3076338353858872,0.35264127465367656
3,57.465957562002586,9,0.32237713730515266,0.3547115878173653
3,57.465957562002586,10,0.3371204392244182,0.35678190098105395
3,57.465957562002586,11,0.3518637411436837,0.35885221414474266
3,57.465957562002586,12,0.36660704306294933,0.3609225273084314
3,57.465957562002586,13,0.3813503449822148,0.36299284047212005
3,57.465957562002586,14,0.39576369497066677,0.36390531382430746
3,57.465957562002586,15,0.4072009373664551,0.35437427849448383
3,57.465957562002586,16,0.4186381797622433,0.3448432431646603
3,57.465957562002586,17,0.43007542215803163,0.33531220783483673
3,57.465957562002586,18,0.4415126645538199,0.32578117250501315
3,57.465957562002586,19,0.4529499069496081,0.3162501371751896
3,57.465957562002586,20,0.4643871493453964,0.30671910184536605
3,57.465957562002586,21,0.4758243917411847,0.29718806651554247
3,57.465957562002586,22,0.4872616341369729,0.28765703118571895
3,57.465957562002586,23,0.49869887653276124,0.2781259958558953
3,57.465957562002586,24,0.5101361189285495,0.26859496052607174
3,57.465957562002586,25,0.5215733613243377,0.2590639251962482
3,57.465957562002586,26,0.533010603720126,0.24953288986642463
3,57.465957562002586,27,0.5444478461159143,0.24000185453660106
3,57.465957562002586,28,0.5558850885117025,0.2304708192067775
3,57.465957562002586,29,0.5673223309074908,0.22093978387695393
3,57.465957562002586,30,0.575021395918153,0.2094857347896854
3,57.465957562002586,31,0.5761248390888017,0.19463872966247175
3,57.465957562002586,32,0.5772282822594506,0.17979172453525802
3,57.465957562002586,33,0.5783317254300993,0.1649447194080443
3,57.465957562002586,34,0.579435168600748,0.15009771428083063
3,57.465957562002586,35,0.5805386117713967,0.13525070915361687
3,57.465957562002586,36,0.5816420549420455,0.12040370402640321
3,57.465957562002586,37,0.5827454981126942,0.10555669889918946
3,57.465957562002586,38,0.5838489412833429,0.09070969377197581
